x_ba,temperature_K,T0_reference_K,curie_constant_reference_K,epsilon_r_reference_10kHz,chi_soft_reference_10kHz,p_fit_GPa,A1_u_zero,chi_soft_zero,epsilon_r_zero,A1_u_fit,chi_soft_fit,epsilon_r_fit,relative_error_fit
0.5,470.0,230.0,100000.0,416.6666666666667,32.626929924374586,-0.39782748594432005,0.007821136809821818,29.702279766288907,379.91442886281794,0.007149175230772815,32.49404107704829,414.99673616064945,-0.004007833214441425
0.5,480.0,230.0,100000.0,400.0,31.30063873194212,-0.3556408066842103,0.008056554738212934,28.83435924712365,369.0078179551803,0.007453326228669567,31.168043164697885,398.3337549601878,-0.0041656125995305215
0.5,490.0,230.0,100000.0,384.61538461538464,30.07636993892754,-0.31345412742410117,0.008290046913408573,28.02222907086447,358.8022891732026,0.007756253416937953,29.950748270865365,383.0367761773213,-0.004104381938964674
0.5,500.0,230.0,100000.0,370.3703703703704,28.9427877231733,-0.2712674481639916,0.008521640849090554,27.260664668887106,349.2321886512522,0.008057935839446287,28.829417141612684,368.94571362571423,-0.00384657321057158
0.5,510.0,230.0,100000.0,357.14285714285717,27.89017566568722,-0.22908076890388207,0.00875136473852976,26.545070461178792,340.2397666277009,0.008358358054792372,27.793209155780612,355.9243400421898,-0.003411847881868657
0.5,520.0,230.0,100000.0,344.82758620689657,26.91015754320018,-0.18689408964377252,0.008979247270738896,25.87138839274127,331.77402807946686,0.008657509315857872,26.83284362053601,343.8560308010487,-0.002817510676958901
0.5,530.0,230.0,100000.0,333.3333333333333,25.995473962212273,-0.14470741038366297,0.009205317475481901,25.236021922599328,323.78977753972606,0.008955382877589192,25.940330725232503,332.64038298057005,-0.0020788510582897546
0.5,540.0,230.0,100000.0,322.5806451612903,25.139802225159073,-0.10252073112355342,0.009429604592590388,24.63577251142529,316.2468209778622,0.009251975410729195,25.10875605509622,322.1905074821241,-0.001209426805415359
0.5,550.0,230.0,100000.0,312.5,24.3376099716717,-0.06033405186344387,0.009652137961809146,24.06778628060615,309.109295497536,0.009547286503527812,24.332106670299346,312.4308434753525,-0.00022130087887195504
0.5,560.0,230.0,100000.0,303.030303030303,23.584035430516888,-0.018147372603334322,0.009872946930023527,23.529508996884115,302.3451036569943,0.009841318236847838,23.60512972194619,303.29538171425094,0.0008747596570282123
0.5,570.0,230.0,100000.0,294.11764705882354,22.874788803547663,0.024039306656775228,0.010092060773235646,23.01864790904027,295.9254338946938,0.010134074820766606,22.923216743941005,294.7262105058964,0.002069115720047643
0.5,580.0,230.0,100000.0,285.7142857142857,22.206070555262386,0.06622598591688478,0.010309508631080128,22.53313925315656,289.82435218837975,0.010425562282914505,22.282308360140178,286.67231822520523,0.0033531137882183426
0.5,590.0,230.0,100000.0,277.77777777777777,21.574503320770738,0.10841266517699388,0.01052531945201932,22.07112047047459,284.01845293440306,0.010715788200507368,21.678815339477207,279.08860126437526,0.004718964551750915
0.5,600.0,230.0,100000.0,270.27027027027026,20.97707485571107,0.15059934443710343,0.010739521947648014,21.630906361397546,278.486559290071,0.011004761469413512,21.109552829601537,271.9350375884173,0.006159639077143897
0.6,300.0,265.0,100000.0,2857.1428571428573,226.8305986465064,-1.7383939732902967,0.003386410218776264,69.6254870793732,881.6451627185796,0.0010381034375839724,227.12617297714303,2860.8571537257285,0.0013000038040049677
0.6,310.0,265.0,100000.0,2222.222222222222,176.3052198871745,-1.6969910746928139,0.0036672629392604005,64.29330670803098,814.639007989682,0.0013157742712516171,179.1952207034572,2258.539043555431,0.016342569599943957
0.6,320.0,265.0,100000.0,1818.1818181818182,144.15270613123607,-1.6555881760953313,0.00394666007497771,59.74177062467072,757.4427187015482,0.0016011352484912394,147.258303853495,1857.2079101388335,0.021464350576358315
0.6,330.0,265.0,100000.0,1538.4615384615386,121.89327353097099,-1.6141852774978487,0.004224434563753655,55.81349583584495,708.07856183012,0.0018925177619676396,124.58560002508221,1572.2943110013985,0.02199130215090883
0.6,340.0,265.0,100000.0,1333.3333333333333,105.56968962410991,-1.572782378900366,0.004500456339950369,52.390345138969685,665.0619815043835,0.0021886144276536787,107.73046999677985,1360.4865003125367,0.020364875234402557
0.6,350.0,265.0,100000.0,1176.4705882352941,93.08694898945147,-1.5313794803028835,0.004774624926363559,49.38198592961286,627.2578247384852,0.0024883882027943514,94.75228208689181,1197.3977811340883,0.01778811396397506
0.6,360.0,265.0,100000.0,1052.6315789473683,83.2321537515632,-1.4899765817054007,0.005046863678316865,46.71821470943657,593.7838883538861,0.0027910076128618943,84.47861619807452,1068.2950880071105,0.014880333606755114
0.6,370.0,265.0,100000.0,952.3809523809524,75.25446236851081,-1.4485736831079181,0.005317115265124634,44.343680581718104,563.9446124685318,0.003095799746189624,76.1614058606561,963.7779404295313,0.011966837451007795
